'Blueberries' Buckshot | NSWC SEAL: 1672.62 RUB
AK-47 | Legion of Anubis (Field-Tested): 3257.98 RUB
AK-47 | Legion of Anubis (Minimal Wear): 3220.00 RUB
AK-47 | Legion of Anubis (Well-Worn): 3227.28 RUB
AK-47 | Midnight Laminate (Battle-Scarred): 420.91 RUB
AK-47 | Midnight Laminate (Factory New): 3650.00 RUB
AK-47 | Midnight Laminate (Field-Tested): 700.17 RUB
AK-47 | Midnight Laminate (Minimal Wear): 1778.46 RUB
AK-47 | Midnight Laminate (Well-Worn): 765.85 RUB
AK-47 | Neon Revolution (Battle-Scarred): 9725.00 RUB
AK-47 | Neon Revolution (Factory New): 41431.53 RUB
AK-47 | Neon Revolution (Field-Tested): 9583.63 RUB
AK-47 | Neon Revolution (Minimal Wear): 14850.00 RUB
AK-47 | Neon Revolution (Well-Worn): 10152.68 RUB
AK-47 | Neon Rider (Battle-Scarred): 4635.64 RUB
AK-47 | Neon Rider (Factory New): 27571.20 RUB
AK-47 | Neon Rider (Field-Tested): 4769.00 RUB
AK-47 | Neon Rider (Minimal Wear): 8400.00 RUB
AK-47 | Neon Rider (Well-Worn): 5100.00 RUB
AK-47 | Nightwish (Battle-Scarred): 5853.00 RUB
AK-47 | Nightwish (Factory New): 12406.66 RUB
AK-47 | Nightwish (Field-Tested): 6338.76 RUB
AK-47 | Nightwish (Minimal Wear): 6526.99 RUB
AK-47 | Nightwish (Well-Worn): 5888.97 RUB
AK-47 | Nouveau Rouge (Battle-Scarred): 1850.00 RUB
AK-47 | Nouveau Rouge (Factory New): 21923.69 RUB
AK-47 | Nouveau Rouge (Field-Tested): 2804.99 RUB
AK-47 | Nouveau Rouge (Minimal Wear): 7563.93 RUB
AK-47 | Nouveau Rouge (Well-Worn): 1970.00 RUB
AK-47 | Olive Polycam (Battle-Scarred): 11.77 RUB
AK-47 | Olive Polycam (Factory New): 63.38 RUB
AK-47 | Olive Polycam (Field-Tested): 8.93 RUB
AK-47 | Olive Polycam (Minimal Wear): 17.04 RUB
AK-47 | Olive Polycam (Well-Worn): 14.94 RUB
AK-47 | Orbit Mk01 (Battle-Scarred): 2820.00 RUB
AK-47 | Orbit Mk01 (Factory New): 8799.83 RUB
AK-47 | Orbit Mk01 (Field-Tested): 2849.89 RUB
AK-47 | Orbit Mk01 (Minimal Wear): 3880.49 RUB
AK-47 | Orbit Mk01 (Well-Worn): 3094.59 RUB
AK-47 | Panthera onca (Battle-Scarred): 20500.00 RUB
AK-47 | Panthera onca (Factory New): 127182.26 RUB
AK-47 | Panthera onca (Field-Tested): 30940.91 RUB
AK-47 | Panthera onca (Minimal Wear): 46878.61 RUB
AK-47 | Panthera onca (Well-Worn): 19700.00 RUB
AK-47 | Phantom Disruptor (Battle-Scarred): 567.79 RUB
